Year,Week,Link
2024,1st,https://drive.google.com/file/d/1SsmjJf-wrTtau9DM5YK3qthByCrmK7JE/view?usp=sharing
2024,2nd,https://drive.google.com/file/d/1LJdSIdb0D3WTdVSw_HkwVKJKaFU1gIA-/view?usp=sharing
2024,3rd,https://drive.google.com/file/d/1BUQRAAr6jqLY1U6po6FwpfCEAErCCoEu/view?usp=sharing
2024,4th,https://drive.google.com/file/d/1MRED1hxz6K8KykUhFmOBZ_5Fz2HMgPfM/view?usp=sharing
2024,5th,https://drive.google.com/file/d/1ugVynaeUhTSP9wSPJEpnyFvm-yDwJYWD/view?usp=drive_link
2024,6th,https://drive.google.com/file/d/171CIVyUf_g8WWV5iy-BBsxOJ-w3TjxeK/view?usp=sharing
2024,7th,https://drive.google.com/file/d/1p084F_Nkx3PvKFTnIUxUwfeT62epyzkX/view?usp=sharing
2024,8th,https://drive.google.com/file/d/1RPKEGDrNDELaz3LKfCCY9NC8kC8PufB4/view?usp=sharing
2024,9th,https://drive.google.com/file/d/1oOCt8avv_yfOlsQ047XjCwtEOM5dq5CC/view?usp=sharing
2024,10th,https://drive.google.com/file/d/1lumtRYDosARGeEKcHfggt5epdtyitS1A/view?usp=sharing
2024,11th,https://drive.google.com/file/d/1qYHV0dODb1_v3VgI49O-x5MAjMYYThBs/view?usp=sharing
2024,12th,https://drive.google.com/file/d/1gYke6h08qbm30tgTqi88YvneBSmh3cZW/view?usp=sharing
2024,13th,https://drive.google.com/file/d/1FdbshEogmU7Ut4wY8iNKEVDE6J-4gGm_/view?usp=sharing
2024,14th,https://drive.google.com/file/d/1VYR3JHc7T7bMnk8r7j83OfQHeJ4p_qJt/view?usp=sharing
2024,15th,https://drive.google.com/file/d/1p93pnw30hl6Dsg1Tz3UooGaX9ifs7bPS/view?usp=sharing
2024,16th,https://drive.google.com/file/d/1Z4wqatbeSAiQogSZpSyfh0TPhtsIGbpO/view?usp=sharing
2024,17th,https://drive.google.com/file/d/181r-U1xoqvGFyer9pcRBisV_n23W5G90/view?usp=sharing
2024,18th,https://drive.google.com/file/d/1bnbn-nVYBADrMvxH67GkNaPq87YwzTYB/view?usp=sharing
2024,19th,https://drive.google.com/file/d/1X0AHVK_AExD2cRKNk-7K5umZB_YdDMSR/view?usp=sharing
2024,20th,https://drive.google.com/file/d/1BFi8uM9DDwb0Q-X-1vJ4pCiUJqMWryAe/view?usp=sharing
2024,21st,https://drive.google.com/file/d/1JtZCMGp5-wNBbBYv02xdCujs8r-ba6uh/view?usp=sharing
2024,22nd,https://drive.google.com/file/d/1J3BzC_ocEoWG2nbQiuRSvfbD7h1Vw0Bw/view?usp=sharing
2024,23rd,https://drive.google.com/file/d/1oW5w73kaCCnaeJmQU6lJOwy-afvX_5O3/view?usp=sharing
2024,24th,https://drive.google.com/file/d/1JquWgitb12IqEsQh34sX1IQ5g9L2IiW6/view?usp=sharing
2024,25th,https://drive.google.com/file/d/1zNmXoGphKZJBRg5fv2ak9rOFS7isXJqv/view?usp=sharing
2024,26th,https://drive.google.com/file/d/1nqmrT1K0yMGVLubn_1c3OR5Tjh7OmIW1/view?usp=sharing
2024,27th,https://drive.google.com/file/d/1RuBZeJLDaedV8Vj7Y4RPdvv05rGbqiPD/view?usp=sharing
2024,28th,https://drive.google.com/file/d/1n4uySrCezHyJbLipKwwh1KfEewON_gDh/view?usp=sharing
2024,29th,https://drive.google.com/file/d/1PtXxrZ4jXTUqN93sMi1mds74n-oxCrOm/view?usp=sharing
2024,30th,https://drive.google.com/file/d/1iJ0y1mspBD68tD58TOCT75c-7YBzlo5L/view?usp=sharing
2024,31st,https://drive.google.com/file/d/1lKaVabDcJwf64Cj3C_v-IbLkA878JHxI/view?usp=sharing
2024,32nd,https://drive.google.com/file/d/1R48Z4mop81jCe8hRRq-yONUDo0y3ZRtt/view?usp=sharing
2024,33rd,https://drive.google.com/file/d/1gZ3m-gJslKuzmCdhnit_Ha1au9-P8DTt/view?usp=sharing
2024,34th,https://drive.google.com/file/d/1sc7KamA4UXuB9YImoHPyO9yVAzEnChZ9/view?usp=sharing
2024,35th,https://drive.google.com/file/d/1H1pLNH7m8t-Fi_bqPC1O7rjYY1BPgPSz/view?usp=sharing
2024,36th,https://drive.google.com/file/d/18fDoWSo9C7hGzSpYWdxI65CfNejBXhfH/view?usp=sharing
2024,37th,https://drive.google.com/file/d/1gZY4wd-G9b8Xk_3L18ZO1H17FsDGnTR7/view?usp=sharing
2024,38th,https://drive.google.com/file/d/1E8QA8_G2Z6GnlDWwvE2VCa9JAf2kykDK/view?usp=sharing
2024,39th,https://drive.google.com/file/d/1U9yLalb31zQCj8Sx6XVNqvSSl-j4rm_J/view?usp=sharing
2024,40th,https://drive.google.com/file/d/1i-fun3UzME2SCF9TbM6EKJ3A12EBW0_L/view?usp=sharing
2024,41st,https://drive.google.com/file/d/1Cpr_45rvsaUqWiA3pmumANhkOcHo5o1i/view?usp=sharing
2024,42nd,https://drive.google.com/file/d/1fdXlPXw4utZVWk5bevJ3B0lFKH7dmKNr/view?usp=drive_linkhttps://drive.google.com/file/d/1fdXlPXw4utZVWk5bevJ3B0lFKH7dmKNr/view?usp=drive_link
2024,43rd,https://drive.google.com/file/d/1ckrHLT9YO4ioQ7B0PQX1jlsSGkm_AsQT/view?usp=drive_link
2024,44th,https://drive.google.com/file/d/1IODkFK_BavqO6G38T5jFvlzkOpUjn3En/view?usp=drive_link
2024,45th,https://drive.google.com/file/d/1wsWUF7CyysoU1kObUGMj8AEkd_NdDfWb/view?usp=sharing
2024,46th,https://drive.google.com/file/d/1aEF2AI-e-XLx29QWfA4JBAWsSmnu9QcZ/view?usp=sharing
2024,47th,https://drive.google.com/file/d/1gpGTcGuBf4ZyDJK6FXMsu9yxzw0WsiYi/view?usp=sharing
2024,48th,https://drive.google.com/file/d/1Wj4RIO8qr0ofT__7MdINowHUKXDe9x6l/view?usp=sharing
2024,49th,https://drive.google.com/file/d/1Ll2rwBUaPWq9q9BKPCRQGYnQ9Jwgk2dp/view?usp=sharing
2024,50th,https://drive.google.com/file/d/1WL87VTQwhGyTmpCGGi3XanbcO4Ltj5cb/view?usp=sharing
2024,51st,https://drive.google.com/file/d/1nLk5mRjguqOvbz__-6rFWBg7H0HvmRau/view?usp=sharing
2024,52nd,https://drive.google.com/file/d/1KSBt394Clc-njJck9l-MsxsO8wiZEP0_/view?usp=sharing
2023,1st,https://idsp.nic.in/WriteReadData/l892s/56953886141677569586.pdf
2023,2nd,https://idsp.nic.in/WriteReadData/l892s/5598982481677737839.pdf
2023,3rd,https://idsp.nic.in/WriteReadData/l892s/59609550111678770735.pdf
2023,4th,https://idsp.nic.in/WriteReadData/l892s/22483332931678770810.pdf
2023,5th,https://idsp.nic.in/WriteReadData/l892s/4298719451679310429.pdf
2023,6th,https://idsp.nic.in/WriteReadData/l892s/43588480701679571484.pdf
2023,7th,https://idsp.nic.in/WriteReadData/l892s/92837229251680676582.pdf
2023,8th,https://idsp.nic.in/WriteReadData/l892s/959182831681282940.pdf
2023,9th,https://idsp.nic.in/WriteReadData/l892s/5334491831681890297.pdf
